Data supplied by UK-AIR on 13/3/2020
All Data GMT hour ending 
Status: R =Ratified P=Provisional,P*=As supplied
,,Bath A4 Roadside,,,,,,,,,,,,,,,,,,,,,,,
Date,time,"Nitric oxide",status,unit,"Nitrogen dioxide",status,unit,"Nitrogen oxides as nitrogen dioxide",status,unit
 
01-01-2020,01:00,4.93806,P,ugm-3,23.63021,P,ugm-3,31.20180,P,ugm-3
01-01-2020,02:00,4.84576,P,ugm-3,14.36479,P,ugm-3,21.79485,P,ugm-3
01-01-2020,03:00,10.83374,P,ugm-3,20.71285,P,ugm-3,37.32435,P,ugm-3
01-01-2020,04:00,8.79159,P,ugm-3,15.86514,P,ugm-3,29.34540,P,ugm-3
01-01-2020,05:00,8.37624,P,ugm-3,12.21801,P,ugm-3,25.06140,P,ugm-3
01-01-2020,06:00,5.60724,P,ugm-3,16.83861,P,ugm-3,25.43625,P,ugm-3
01-01-2020,07:00,5.78030,P,ugm-3,13.78865,P,ugm-3,22.65165,P,ugm-3
01-01-2020,08:00,6.02259,P,ugm-3,12.93519,P,ugm-3,22.16970,P,ugm-3
01-01-2020,09:00,6.33410,P,ugm-3,13.52855,P,ugm-3,23.24070,P,ugm-3
01-01-2020,10:00,12.07979,P,ugm-3,20.40877,P,ugm-3,38.93085,P,ugm-3
01-01-2020,11:00,19.97146,P,ugm-3,22.76688,P,ugm-3,53.38935,P,ugm-3
01-01-2020,12:00,34.40490,P,ugm-3,37.79961,P,ugm-3,90.55305,P,ugm-3
01-01-2020,13:00,65.21009,P,ugm-3,59.05609,P,ugm-3,159.04350,P,ugm-3
01-01-2020,14:00,49.28831,P,ugm-3,47.85840,P,ugm-3,123.43275,P,ugm-3
01-01-2020,15:00,26.44401,P,ugm-3,33.99469,P,ugm-3,74.54160,P,ugm-3
01-01-2020,16:00,27.72467,P,ugm-3,35.19048,P,ugm-3,77.70105,P,ugm-3
01-01-2020,17:00,44.30410,P,ugm-3,36.86535,P,ugm-3,104.79735,P,ugm-3
01-01-2020,18:00,39.42372,P,ugm-3,40.01093,P,ugm-3,100.45980,P,ugm-3
01-01-2020,19:00,19.17537,P,ugm-3,33.35878,P,ugm-3,62.76060,P,ugm-3
01-01-2020,20:00,16.19869,P,ugm-3,23.08961,P,ugm-3,47.92725,P,ugm-3
01-01-2020,21:00,27.20548,P,ugm-3,28.27536,P,ugm-3,69.98985,P,ugm-3
01-01-2020,22:00,10.59145,P,ugm-3,20.17401,P,ugm-3,36.41400,P,ugm-3
01-01-2020,23:00,4.08428,P,ugm-3,13.87232,P,ugm-3,20.13480,P,ugm-3
01-01-2020,24:00,3.70355,P,ugm-3,10.33276,P,ugm-3,16.01145,P,ugm-3
02-01-2020,01:00,2.07676,P,ugm-3,6.52609,P,ugm-3,9.71040,P,ugm-3
02-01-2020,02:00,4.84576,P,ugm-3,7.34974,P,ugm-3,14.77980,P,ugm-3
02-01-2020,03:00,1.48834,P,ugm-3,4.30456,P,ugm-3,6.58665,P,ugm-3
02-01-2020,04:00,2.49211,P,ugm-3,8.60243,P,ugm-3,12.42360,P,ugm-3
02-01-2020,05:00,4.01506,P,ugm-3,9.37316,P,ugm-3,15.52950,P,ugm-3
02-01-2020,06:00,31.32438,P,ugm-3,34.43695,P,ugm-3,82.46700,P,ugm-3
02-01-2020,07:00,29.52453,P,ugm-3,39.92774,P,ugm-3,85.19805,P,ugm-3
